"Department","Department Name","Division","Gender","Base Salary","2024 Overtime Pay","2024 Longevity Pay","Grade"
"ABS","Alcohol Beverage Services","ABS 85 IT Administration","M","$169,555","$0","$0","M3"
"CUS","Community Use of Public Facilities","CUS 70 Finance and Administrative Support Team","F","$141,876.93","$0","$0","M3"
"DGS","Department of General Services","DGS 36 Fleet Management Services","F","$87,523","$748.37","$2,701.48","16"
"CEX","Offices of the County Executive","CEX 15 Chief Administrative Officer's Office","F","$207,000","$0","$0","EX2"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$91,392","$0","$5,733.27","N17"
"OAG","Office of Agriculture","OAG 78 Agricultural Services","F","$108,899","$0","$3,361.18","N21"
"COR","Correction and Rehabilitation","COR 42 MSD Fiscal Services","F","$160,088.68","$0","$0","M3"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$130,181","$0","$8,166.53","N25"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$104,197","$0","$3,216","20"
"DGS","Department of General Services","DGS 36 Real Estate Office","F","$169,555","$0","$0","M3"
"DOT","Department of Transportation","DOT 50 Transit COS Taxicab Regulation","F","$108,899","$0","$4,045.18","21"
"SHF","Sheriff's Office","SHF 48 Administration","F","$125,647.51","$1,053.19","$0","N25"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Finance and Human Resources","F","$119,032","$0","$1,184.88","N23"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","M","$194,980","$0","$0","M2"
"OHR","Office of Human Resources","OHR 33 Administrative Services Team","F","$194,980","$0","$0","M2"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$119,032","$0","$7,467.13","N23"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","F","$130,181","$0","$8,166.53","N25"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$95,458","$0","$5,988.2","18"
"IGR","Office of Intergovernmental Relations Department","IGR 20 Office of Intergovernmental Relations","F","$108,899","$21.28","$0","N21"
"DOT","Department of Transportation","DOT 50 Director Management Services","F","$119,032","$0","$7,467.13","N23"
"DGS","Department of General Services","DGS 36 Building Design and Construction","F","$149,112","$0","$9,354.05","28"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","M","$217,359","$0","$0","M1"
"FIN","Department of Finance","FIN 32 Accounts Payable","M","$130,181","$0","$650.92","N25"
"HHS","Department of Health and Human Services","HHS 60 Services to End and Prevent Homelessness Division","F","$136,188","$0","$0","N26"
"POL","Department of Police","POL 47 MSB Training and Education Division","M","$115,223","$4,110.9","$12,285.18","P4"
"DOT","Department of Transportation","DOT 50 Highway Services","F","$83,837","$17,425.48","$5,259.22","15"
"DGS","Department of General Services","DGS 36 Building Design and Construction","F","$138,535","$0","$0","N28"
"DGS","Department of General Services","DGS 36 Fleet Management Administration","M","$194,980","$0","$0","M2"
"DEP","Department of Environmental Protection","DEP 80 Waste Reduction and Recycling","F","$169,555","$0","$0","M3"
"BOA","Board of Appeals Department","BOA 02 Board of Appeals Division","F","$95,458","$0","$5,988.2","N18"
"COR","Correction and Rehabilitation","COR 42 MSD Fiscal Services","F","$127,509.43","$0","$7,845.63","N26"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","F","$108,899","$0","$9,070.24","21"
"HCA","Department of Housing and Community Affairs","HCA 76 Finance and Administration Division","F","$119,032","$0","$7,467.13","N23"
"OMB","Office of Management and Budget","OMB 31 Office of Management and Budget","M","$217,338.65","$0","$0","M1"
"DPS","Department of Permitting Services","DPS 75 Customer Support","M","$91,392","$22.91","$8,740.19","17"
"PRO","Office of Procurement","PRO 35 Procurement Services Section","M","$87,523","$0","$5,490.56","16"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","F","$123,385.21","$0","$0","N25"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","F","$87,523","$5,779.52","$7,939.98","16"
"FIN","Department of Finance","FIN 32 General Accounting","F","$130,181","$0","$8,166.53","N25"
"FRS","Fire and Rescue Services","FRS 45 Procurement","F","$87,523","$0","$8,370.23","16"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","F","$130,181","$0","$0","N25"
"DGS","Department of General Services","DGS 36 Real Estate Office","F","$95,458","$0","$2,946.31","18"
"CEC","Community Engagement Cluster","CEC 16 Business Management","F","$87,523","$2,333.76","$5,490.56","N16"
"LIB","Department of Public Libraries","LIB 71 Director's Office","F","$87,523","$0","$5,490.56","16"
"POL","Department of Police","POL 47 MSB Management and Budget Division","F","$87,523","$12,173.85","$5,490.58","16"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","F","$106,210.57","$0","$0","21"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","M","$62,815.5","$161.38","$3,189.37","16"
"REC","Department of Recreation","REC 72 Facilities Division","M","$108,899","$480.7","$6,831.44","21"
"DPS","Department of Permitting Services","DPS 75 Customer Support","F","$99,719","$0","$9,536.59","19"
"DEP","Department of Environmental Protection","DEP 80 Administration and Operations","M","$130,181","$2,250.68","$8,166.53","N25"
"HHS","Department of Health and Human Services","HHS 60 Services to End and Prevent Homelessness Division","F","$113,837","$0","$3,924.58","22"
"FRS","Fire and Rescue Services","FRS 45 Budgets and Grants","F","$119,032","$0","$7,467.13","23"
"FRS","Fire and Rescue Services","FRS 45 Property and Supply","M","$91,392","$306.91","$2,820.75","17"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","M","$136,188","$0","$8,543.3","N26"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","M","$110,588","$0","$0","N23"
"OMB","Office of Management and Budget","OMB 31 Office of Management and Budget","F","$149,112","$0","$0","N28"
"CEX","Offices of the County Executive","CEX 15 Chief Administrative Officer's Office","F","$217,359","$0","$0","M1"
"DPS","Department of Permitting Services","DPS 75 Central Services Unit","F","$108,899","$0","$6,831.44","N21"
"HRC","Office of Human Rights","HRC 46 Director's Office","M","$87,523","$3,221.95","$0","N16"
"BOA","Board of Appeals Department","BOA 02 Board of Appeals Division","F","$85,375.01","$0","$0","N16"
"DPS","Department of Permitting Services","DPS 75 Director's Office","M","$147,853.41","$0","$1,053.92","M3"
"HHS","Department of Health and Human Services","HHS 60 Children Youth and Family Services Division","F","$173,574.12","$0","$0","M2"
"DOT","Department of Transportation","DOT 50 Transportation Engineering Administration","F","$130,181","$0","$8,166.53","N25"
"FRS","Fire and Rescue Services","FRS 45 EMS Billing","F","$165,313.09","$0","$0","M3"
"FIN","Department of Finance","FIN 32 Division of the Treasury","M","$194,980","$0","$0","M2"
"FIN","Department of Finance","FIN 32 Tax Operations","F","$87,523","$128.79","$5,490.56","16"
"FIN","Department of Finance","FIN 32 Operations and Administration - Risk Management","F","$169,555","$0","$0","M3"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$87,523","$0","$8,370.23","16"
"PRO","Office of Procurement","PRO 35 Procurement Services Section","F","$165,074.54","$0","$0","M3"
"CEC","Community Engagement Cluster","CEC 16 Regional Services Centers","M","$200,000","$0","$0","EX3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Vendor and Contract Management","F","$130,181","$0","$8,166.53","25"
"OMB","Office of Management and Budget","OMB 31 Office of Management and Budget","F","$201,941","$0","$0","M1"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","F","$130,181","$0","$8,166.53","N25"
"OIG","Office of the Inspector General","OIG 06 Office of the Inspector General","F","$149,112","$0","$9,354.05","N28"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$87,523","$0","$5,490.56","16"
"HHS","Department of Health and Human Services","HHS 60 Office of Community Affairs Division","F","$130,181","$0","$4,017.99","N25"
"HHS","Department of Health and Human Services","HHS 60 Services to End and Prevent Homelessness Division","F","$108,899","$0","$3,361.18","21"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","F","$87,523","$864.31","$8,370.23","16"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Finance and Human Resources","F","$83,754","$0","$4,094.63","16"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","M","$119,032","$0","$7,467.13","23"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Finance and Human Resources","F","$108,552.58","$0","$0","N21"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$91,392","$0","$5,733.27","N17"
"DGS","Department of General Services","DGS 36 Administration and Budget","F","$130,181","$0","$8,166.53","N25"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","F","$108,899","$0","$1,326.14","21"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Payroll/Comp/BI","F","$169,555","$0","$0","M3"
"FIN","Department of Finance","FIN 32 Director's Office","F","$217,359","$0","$0","M1"
"DOT","Department of Transportation","DOT 50 Highway Services","F","$95,458","$13,687.56","$3,792.78","18"
"POL","Department of Police","POL 47 MSB Management and Budget Division","F","$113,377.47","$338.66","$0","23"
"HHS","Department of Health and Human Services","HHS 60 Services to End and Prevent Homelessness Division","F","$91,392","$0","$5,733.27","N17"
"FIN","Department of Finance","FIN 32 Grants Accounting","M","$119,032","$0","$11,383.55","23"
"FIN","Department of Finance","FIN 32 Accounts Payable","F","$87,523","$0","$6,626.74","16"
"OMB","Office of Management and Budget","OMB 31 Office of Management and Budget","F","$163,363","$0","$0","N30"
"DEP","Department of Environmental Protection","DEP 80 Administration and Operations","F","$119,032","$0","$7,467.13","N23"
"REC","Department of Recreation","REC 72 Facilities Division","M","$130,181","$0","$0","N25"
"DEP","Department of Environmental Protection","DEP 80 Strategic Services Division","M","$130,181","$0","$1,896.68","25"
"DOT","Department of Transportation","DOT 50 Highway Services","M","$113,837","$16,958.19","$10,886.73","22"
"DOT","Department of Transportation","DOT 50 Highway Administration","M","$169,555","$0","$0","M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO System Center Configuration Management","M","$149,112","$0","$7,928.86","N28"
"DEP","Department of Environmental Protection","DEP 80 Materials Management","M","$142,495","$0","$8,938.92","27"
"REC","Department of Recreation","REC 72 Countywide Programs","F","$87,523","$0","$5,490.56","16"
"DGS","Department of General Services","DGS 36 Central Duplicating","M","$70,775","$0","$6,768.47","11"
"DGS","Department of General Services","DGS 36 Fleet Management Administration","M","$104,197","$3,557.59","$9,964.8","20"
"DGS","Department of General Services","DGS 36 Facilities Major Programs","M","$149,112","$0","$14,260.29","28"
"REC","Department of Recreation","REC 72 Facilities Division","F","$101,175","$0","$2,820.07","21"
"REC","Department of Recreation","REC 72 Facilities Division","F","$147,095.9","$0","$0","M3"
"OHR","Office of Human Resources","OHR 33 Recruitment and Selection","F","$130,181","$0","$8,166.53","N25"
"FRS","Fire and Rescue Services","FRS 45 Admin Services","F","$119,032","$32,516.5","$7,467.13","N23"
"PRO","Office of Procurement","PRO 35 Procurement Operations Section","F","$142,495","$0","$4,398.04","27"
"LIB","Department of Public Libraries","LIB 71 White Oak Library","F","$167,123.6","$0","$0","N25"
"DOT","Department of Transportation","DOT 50 Parking Management Engineering and Capital Project Management","M","$124,464","$17,644.79","$7,807.8","N24"
"DOT","Department of Transportation","DOT 50 Transportation Planning and Design Section","M","$169,555","$0","$0","M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Finance and Human Resources","F","$130,181","$0","$8,166.53","N25"
"OMB","Office of Management and Budget","OMB 31 Office of Management and Budget","M","$193,105.77","$0","$0","M2"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","F","$119,032","$0","$0","N23"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Data Center Management","M","$149,112","$0","$9,354.05","N28"
"DOT","Department of Transportation","DOT 50 Highway Services","M","$136,188","$0","$8,543.3","N26"
"DOT","Department of Transportation","DOT 50 Transportation Management","F","$83,837","$745.66","$8,017.77","15"
"DOT","Department of Transportation","DOT 50 Parking Management Engineering and Capital Project Management","M","$149,112","$0","$14,260.29","28"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","F","$65,642.25","$0","$485.28","16"
"DEP","Department of Environmental Protection","DEP 80 Recycling and Refuse Services","F","$129,476.67","$0","$0","N25"
"DGS","Department of General Services","DGS 36 Fleet Automotive Heavy Equipment","F","$87,523","$837.09","$5,490.56","16"
"DGS","Department of General Services","DGS 36 Property Management","M","$124,464","$16,210.11","$948.66","N24"
"FIN","Department of Finance","FIN 32 Accounts Receivable","F","$169,555","$0","$0","M3"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Finance and Human Resources","F","$87,523","$0","$2,701.48","16"
"DOT","Department of Transportation","DOT 50 Transit Management Services","M","$130,181","$0","$1,118.08","N25"
"FRS","Fire and Rescue Services","FRS 45 Internal Affairs","F","$87,523","$0","$8,370.23","16"
"DOT","Department of Transportation","DOT 50 Transit Management Services","F","$130,181","$0","$8,166.53","N25"
"DEP","Department of Environmental Protection","DEP 80 Resource Conversion","F","$130,181","$0","$0","N25"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$87,523","$0","$5,490.56","16"
"HHS","Department of Health and Human Services","HHS 60 Child Welfare Services","F","$136,188","$0","$902.73","N26"
"DGS","Department of General Services","DGS 36 Contracting and Accounts Payable","M","$87,523","$0","$5,490.56","16"
"DGS","Department of General Services","DGS 36 Central Duplicating","M","$169,555","$0","$0","M3"
"POL","Department of Police","POL 47 MSB Management and Budget Division","F","$162,254","$0","$0","M3"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","M","$119,032","$0","$3,539.7","23"
"ABS","Alcohol Beverage Services","ABS 85 Administration","M","$194,980","$0","$0","M2"
"HCA","Department of Housing and Community Affairs","HCA 76 Asset Management","F","$130,181","$0","$8,166.53","25"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","M","$119,032","$0","$0","N23"
"DGS","Department of General Services","DGS 36 Fleet Management Services","F","$130,181","$903.27","$0","N25"
"DGS","Department of General Services","DGS 36 Contracting and Accounts Payable","M","$119,032","$0","$7,467.13","23"
"HHS","Department of Health and Human Services","HHS 60 Child Welfare Services","F","$76,986","$0","$7,362.67","13"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","F","$119,032","$0","$11,383.55","23"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$76,986","$0","$7,362.67","13"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","F","$130,181","$0","$8,166.53","N25"
"DPS","Department of Permitting Services","DPS 75 Customer Support","F","$91,392","$0","$8,740.19","17"
"POL","Department of Police","POL 47 MSB Management and Budget Division Vehicle Recovery Section","F","$108,899","$1,383.08","$5,827","13"
"HHS","Department of Health and Human Services","HHS 60 Child Welfare Services","F","$108,899","$0","$0","21"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","F","$87,523","$365.11","$2,701.48","16"
"CUS","Community Use of Public Facilities","CUS 70 Finance and Administrative Support Team","M","$149,112","$0","$9,354.05","N28"
"FIN","Department of Finance","FIN 32 Tax Operations","F","$166,958.66","$0","$0","M3"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","M","$87,523","$0","$0","16"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","F","$71,525","$0","$0","13"
"HHS","Department of Health and Human Services","HHS 60 Services to End and Prevent Homelessness Division","F","$119,032","$0","$297.58","23"
"FIN","Department of Finance","FIN 32 Tax Operations","F","$106,694.35","$0","$0","N21"
"FRS","Fire and Rescue Services","FRS 45 Length of Service Awards Program","F","$108,899","$0","$6,831.44","21"
"OHR","Office of Human Resources","OHR 33 Director's Office","F","$238,000","$0","$0","EX1"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","M","$104,197","$0","$6,536.46","20"
"OMB","Office of Management and Budget","OMB 31 Office of Management and Budget","F","$163,363","$0","$10,248.09","N30"
"DGS","Department of General Services","DGS 36 Property Management","M","$124,464","$21,507.99","$7,807.8","N24"
"HHS","Department of Health and Human Services","HHS 60 Services to End and Prevent Homelessness Division","F","$99,710","$0","$1,573.24","20"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","M","$127,509.43","$0","$0","N25"
"FRS","Fire and Rescue Services","FRS 45 Procurement","F","$87,523","$0","$3,693.77","16"
"DPS","Department of Permitting Services","DPS 75 Zoning Review","M","$124,464","$0","$4,791.51","24"
"FRS","Fire and Rescue Services","FRS 45 Fleet Support","F","$91,347","$0","$3,451.54","N18"
"LIB","Department of Public Libraries","LIB 71 Gaithersburg Library","M","$162,254","$0","$0","M3"
"DGS","Department of General Services","DGS 36 Property Management","M","$124,464","$56,917.39","$0","N24"
"REC","Department of Recreation","REC 72 Business Services","F","$87,523","$1,345.8","$3,693.77","16"
"FIN","Department of Finance","FIN 32 Tax Operations","F","$87,523","$32.2","$5,490.56","16"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","F","$130,181","$0","$4,017.99","N25"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","F","$105,579.56","$0","$0","N21"
"DPS","Department of Permitting Services","DPS 75 Central Services Unit","F","$142,495","$0","$0","N27"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","F","$87,523","$0","$5,487.47","16"
"CEX","Offices of the County Executive","CEX 15 Chief Administrative Officer's Office","F","$95,458","$0","$0","N18"
"DGS","Department of General Services","DGS 36 Building Design and Construction","F","$87,523","$0","$8,370.23","16"
"FIN","Department of Finance","FIN 32 Grants Accounting","M","$136,188","$0","$0","N26"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","F","$108,899","$0","$10,414.6","21"
"HHS","Department of Health and Human Services","HHS 60 Children Youth and Family Services Division","M","$59,515.71","$0","$6,199.67","23"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$130,181","$0","$0","N25"
"FIN","Department of Finance","FIN 32 Treasury Operations","F","$91,392","$0","$5,733.27","N17"
"ABS","Alcohol Beverage Services","ABS 85 Wholesale Operations","F","$108,899","$0","$10,414.6","21"
"CUS","Community Use of Public Facilities","CUS 70 Director","F","$217,359","$0","$0","M1"
"DOT","Department of Transportation","DOT 50 Parking Management Administration","M","$108,899","$0","$6,581.87","21"
"DGS","Department of General Services","DGS 36 Central Services","F","$175,559.61","$0","$0","M2"
"DOT","Department of Transportation","DOT 50 Highway Services","M","$136,188","$0","$8,543.3","N26"
"FIN","Department of Finance","FIN 32 Timekeeping and Payroll","F","$194,980","$0","$0","M2"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$87,523","$0","$8,370.23","16"
"OLR","Office of Labor Relations","OLR 26 Labor Relations Division","F","$130,181","$0","$0","N25"
"PRO","Office of Procurement","PRO 35 MFD (Minority, Female, and Disabled Persons Program)","M","$119,032","$0","$11,205.43","23"
"DOT","Department of Transportation","DOT 50 Transportation Engineering Administration","M","$136,188","$0","$13,024.23","26"
"OMB","Office of Management and Budget","OMB 31 Office of Management and Budget","F","$240,000","$0","$0","EX1"
"DOT","Department of Transportation","DOT 50 Commuter Services","F","$87,523","$0","$2,701.48","16"
"POL","Department of Police","POL 47 FSB Traffic Division Automated Traffic Enforcement Section","M","$119,032","$0","$0","N23"
"FRS","Fire and Rescue Services","FRS 45 Procurement","F","$108,899","$0","$10,391.37","21"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","F","$104,197","$0","$6,536.46","20"
"FIN","Department of Finance","FIN 32 Division of Fiscal Management","F","$194,980","$0","$0","M2"
"ABS","Alcohol Beverage Services","ABS 85 Administrative Services","F","$108,899","$0","$6,831.44","21"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Infrastructure and Cloud Services","M","$186,124","$0","$11,675.79","N34"
"DGS","Department of General Services","DGS 36 Fleet Management Administration","F","$91,392","$2,440.64","$5,733.27","N17"
"OHR","Office of Human Resources","OHR 33 Administrative Services Team","F","$119,032","$0","$3,673.91","N23"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$104,197","$0","$6,536.46","20"
"DOT","Department of Transportation","DOT 50 Transportation Management","M","$83,837","$3,113.75","$5,259.22","15"
"DPS","Department of Permitting Services","DPS 75 Customer Support","F","$99,719","$757.5","$9,268.32","19"
"DPS","Department of Permitting Services","DPS 75 Customer Support","M","$91,392","$0","$8,740.19","17"
"OCP","Office of Consumer Protection","OCP 39 Investigations","M","$130,181","$0","$8,166.53","25"
"DGS","Department of General Services","DGS 36 Building Design and Construction","F","$169,555","$0","$0","M3"
"OHR","Office of Human Resources","OHR 33 Administrative Services Team","F","$136,188","$0","$2,784.54","N26"
"DOT","Department of Transportation","DOT 50 Parking Management Engineering and Capital Project Management","M","$147,028.19","$0","$0","28"
"OHR","Office of Human Resources","OHR 33 Health and Employee Welfare","F","$130,181","$0","$3,568.83","N25"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","F","$130,181","$0","$0","N25"
"DPS","Department of Permitting Services","DPS 75 Customer Support","M","$91,392","$9,262.13","$8,740.19","17"
"DGS","Department of General Services","DGS 36 Director","M","$246,000","$0","$0","EX1"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Strategy and Planning","F","$194,980","$0","$0","M2"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","F","$130,181","$0","$8,166.53","N25"
"DOT","Department of Transportation","DOT 50 Transportation Construction Section","F","$108,899","$12,607.7","$10,321.79","21"
"DOT","Department of Transportation","DOT 50 Transportation Planning and Design Section","F","$142,691","$0","$6,976.01","28"
"PRO","Office of Procurement","PRO 35 Procurement Services Section","F","$76,986","$0","$4,829.55","13"
"FIN","Department of Finance","FIN 32 Management and Operations - Director","F","$149,112","$0","$4,602.26","N28"
"DGS","Department of General Services","DGS 36 Real Estate Office","F","$87,523","$0","$8,370.23","16"
"FIN","Department of Finance","FIN 32 Tax Operations","F","$87,523","$804.9","$5,490.56","16"
"FRS","Fire and Rescue Services","FRS 45 Facilities","M","$169,555","$0","$0","M3"
"HHS","Department of Health and Human Services","HHS 60 Children Youth and Family Services Division","F","$130,181","$0","$825.41","N25"
"DGS","Department of General Services","DGS 36 Building Design and Construction","M","$149,112","$0","$4,602.26","28"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","F","$152,658.66","$0","$1,058.83","M3"
"PRO","Office of Procurement","PRO 35 Office of Procurement","F","$155,134.41","$0","$0","M3"
"OAS","Office of Animal Services","OAS 38 Animal Services Division","F","$87,523","$780.74","$8,370.23","16"
"DEP","Department of Environmental Protection","DEP 80 Administration and Operations","M","$136,188","$0","$5,338.06","N26"
"FRS","Fire and Rescue Services","FRS 45 Volunteer Services Division","F","$87,523","$432.16","$5,490.56","16"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$87,523","$0","$8,370.23","16"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$104,197","$2,390.63","$3,216","20"
"HCA","Department of Housing and Community Affairs","HCA 76 Licensing","F","$108,899","$0","$10,414.6","21"
"POL","Department of Police","POL 47 MSB Management and Budget Division","F","$130,181","$893.91","$8,166.53","N25"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OMC MC311","F","$130,181","$0","$5,654.75","N25"
"OMB","Office of Management and Budget","OMB 31 Office of Management and Budget","F","$127,806.91","$0","$0","N25"
"DGS","Department of General Services","DGS 36 Fleet Management Services","F","$157,528","$0","$0","M3"
"DGS","Department of General Services","DGS 36 Building Design and Construction","M","$169,354.11","$0","$1,989.88","M3"
"OHR","Office of Human Resources","OHR 33 Professional Learning and Org Development","F","$130,181","$0","$2,510.5","N25"
"HHS","Department of Health and Human Services","HHS 60 Child Welfare Services","F","$101,175","$0","$287.21","N21"
"DOT","Department of Transportation","DOT 50 Commuter Services","F","$169,555","$0","$0","M3"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","F","$87,523","$0","$8,370.23","16"
"FRS","Fire and Rescue Services","FRS 45 Training","F","$115,856.97","$0","$0","N25"
"REC","Department of Recreation","REC 72 Youth Development","M","$119,032","$0","$0","N23"
"REC","Department of Recreation","REC 72 Countywide Programs","M","$108,899","$855.39","$10,414.6","21"
"DGS","Department of General Services","DGS 36 Facilities Maintenance","M","$113,837","$29,969.59","$7,141.27","22"
"DEP","Department of Environmental Protection","DEP 80 Administration and Operations","F","$130,181","$0","$0","N25"
"DOT","Department of Transportation","DOT 50 Director Management Services","M","$149,112","$0","$9,354.05","N28"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OBP Data Center Management","M","$104,197","$0","$9,964.8","20"
"DOT","Department of Transportation","DOT 50 Director Management Services","M","$194,980","$0","$0","M2"
"DOT","Department of Transportation","DOT 50 Transportation Planning and Design Section","M","$166,343.9","$0","$0","M3"
"COR","Correction and Rehabilitation","COR 42 DS Food Services","F","$87,523","$807.5","$5,490.56","16"
"PRO","Office of Procurement","PRO 35 Procurement Operations Section","M","$119,032","$0","$7,194.35","23"
"OHR","Office of Human Resources","OHR 33 Equal Employment Opportunity & Diversity","F","$191,053.8","$0","$0","M2"
"DOT","Department of Transportation","DOT 50 Transportation System Engineering","M","$169,555","$0","$0","M3"
"PRO","Office of Procurement","PRO 35 Procurement Operations Section","M","$130,181","$0","$4,690.07","25"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","M","$130,181","$0","$8,166.53","N25"
"DGS","Department of General Services","DGS 36 Building Design and Construction","M","$169,555","$0","$0","M3"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$87,523","$0","$5,490.56","16"
"FIN","Department of Finance","FIN 32 General Accounting","M","$136,188","$0","$0","N26"
"DPS","Department of Permitting Services","DPS 75 Customer Support","F","$91,392","$0","$8,682.1","17"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","M","$130,181","$0","$8,166.53","N25"
"DOT","Department of Transportation","DOT 50 Director's Office","F","$169,555","$0","$0","M3"
"DOT","Department of Transportation","DOT 50 Transportation Planning and Design Section","M","$168,271.96","$0","$0","M3"
"FRS","Fire and Rescue Services","FRS 45 Station 35","F","$136,743","$24,223.59","$11,049.3","B2"
"REC","Department of Recreation","REC 72 Countywide Programs","M","$108,899","$0","$10,414.6","21"
"DPS","Department of Permitting Services","DPS 75 Customer Support","M","$91,392","$0","$8,740.19","17"
"HHS","Department of Health and Human Services","HHS 60 Chief Operating Officer Division","F","$113,906","$8,391.23","$9,495.27","23"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 OSP Employee Productivity Services","F","$149,112","$0","$4,602.26","N28"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$194,980","$0","$0","M2"
"DOT","Department of Transportation","DOT 50 Parking Management Administration","M","$169,555","$0","$0","M3"
"HHS","Department of Health and Human Services","HHS 60 Child Welfare Services","F","$169,555","$0","$0","M3"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","F","$87,523","$0","$3,693.78","16"
"DGS","Department of General Services","DGS 36 Fleet Management Administration","F","$119,032","$5,053.97","$11,202.35","23"
"DEP","Department of Environmental Protection","DEP 80 Watershed Restoration Division","F","$186,510.97","$0","$0","M2"
"LIB","Department of Public Libraries","LIB 71 Business Office","M","$119,032","$0","$3,673.91","N23"
"HRC","Office of Human Rights","HRC 46 Director","M","$217,065.72","$0","$0","M1"
"HHS","Department of Health and Human Services","HHS 60 Children Youth and Family Services Division","M","$119,032","$0","$3,673.91","23"
